set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,010,Riolu,MEP Black Star Promos,Mega Evolution Pokémon Center Elite Trainer Box (Mega Lucario)},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,95dca2c2-c3e7-43b4-bc02-227fddc4910d,002,Inteleon,,002,Inteleon,MEP Black Star Promos,Mega Evolution Build & Battle Box,canonical_identity_present_but_variant_cardinality_or_lane_differs
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,002,Inteleon,MEP Black Star Promos,Mega Evolution Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,718508f6-7825-43e8-98e1-a57b58dd490f,003,Alakazam,,003,Alakazam,MEP Black Star Promos,Mega Evolution Build & Battle Box,canonical_identity_present_but_variant_cardinality_or_lane_differs
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,003,Alakazam,MEP Black Star Promos,Mega Evolution Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,5f64ad81-93ff-4b77-aa94-06f8522b3f1e,001,Meganium,,001,Meganium,MEP Black Star Promos,Mega Evolution Build & Battle Box,canonical_identity_present_but_variant_cardinality_or_lane_differs
mep,MEP Black Star Promos,MEP,MEP Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/MEP_Black_Star_Promos_%28TCG%29,,,,,001,Meganium,MEP Black Star Promos,Mega Evolution Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,5fe20df1-e1b9-4d43-834c-949b5da83167,SM133,Thundurus-GX,,SM133,Thundurus GX,SM Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM133,Thundurus GX,SM Black Star Promos,},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,dd347ec9-1b1d-46e5-be40-ece48bcb44b3,SM94,Wash Rotom,,SM94,Wash Rotom,SM Black Star Promos,Ultra Prism Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM94,Wash Rotom,SM Black Star Promos,Ultra Prism Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,bfe857c7-8688-4b11-b5bd-4af34ae78c9b,SM21,Drampa,,SM21,Drampa,SM Black Star Promos,Guardians Rising Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM21,Drampa,SM Black Star Promos,Guardians Rising Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,e89f9646-9b80-4fbd-97e2-1880df5fea83,SM175,Eevee-GX,,SM175,Eevee GX,SM Black Star Promos,Vaporeon-GX Special Collection,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM175,Eevee GX,SM Black Star Promos,Eevee-GX Box},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,61fc3ce2-7f43-4c6e-bc16-f757588643e7,SM150,Raikou,,SM150,Raikou,SM Black Star Promos,Lost Thunder Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM150,Raikou,SM Black Star Promos,Lost Thunder Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,7b2bb3c9-a02d-4364-9ebd-26ec0fd876c3,SM138,Zekrom-GX,,SM138,Zekrom GX,SM Black Star Promos,Dragon Majesty Legends Of Unova-GX Premium Collection,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM138,Zekrom GX,SM Black Star Promos,Dragon Majesty Legends Of Unova-GX Collection},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,a8d9e61c-50f9-4c0b-90ff-4dc6b66b9203,SM130,Manectric,,SM130,Manectric,SM Black Star Promos,Celestial Storm Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
