set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,db_set_code_other,db_set_name_other,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,77c34378-c2ed-44d1-b109-2ce4ebb37087,11,Fletchling,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,dfcfb451-6404-4e19-b54a-ffed465b0c9b,12,Furfrou,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2014xy,Macdonald's Collection 2014,MCD,McDonald's Collection 2014,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2014_%28TCG%29,767f8431-5035-4c63-bb4a-a69f61153892,2,Chespin,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,8148fc93-2902-49c4-8463-2f31f9421eca,10,Marill,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,87285ddf-d4cf-4e01-9b5c-e7090a3ea2c7,4,Staryu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,f0b94919-bd8d-45cf-8b71-fefcab1aff54,11,Zigzagoon,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,a670728b-bd75-4840-bb2a-d7001a66f650,1,Treecko,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,48de5b8f-fded-4edb-ab1a-f23087b33bc0,2,Lotad,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,5a6ece6b-668c-4502-9261-e1635f1ca524,3,Torchic,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,13c884a5-113e-447c-bb6e-8e88fbba937f,5,Mudkip,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,0482ab92-e234-4524-ac24-2b9910c68f9d,6,Pikachu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,c2fffa2c-2911-4591-bb46-df42857da980,7,Electrike,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,47e210c2-5a21-407d-98ab-3e989169a477,8,Rhyhorn,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,cdbd376a-8710-4427-96ca-9bbda197b1ac,9,Meditite,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2015xy,Macdonald's Collection 2015,MCD,McDonald's Collection 2015,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2015_%28TCG%29,121ebd74-83f8-4839-80e1-a48f36c66d68,12,Skitty,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,9e11db60-1769-4f70-b3bb-28bbb7c99470,1,Vulpix,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,993c695c-83e5-4f8c-a5db-f3f7b8ab238d,4,Magikarp,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,b89a643d-7947-460f-b099-6861e80db089,5,Totodile,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,a6b43232-c305-4ed0-b812-485466ed6e8e,8,Jigglypuff,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,e1d8ca9c-bc25-4916-b9a1-6c7f0ae2a7c0,10,Dedenne,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,1a49572d-cb68-4f7b-88a4-de7f1e7a66b6,3,Fennekin,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,2525028f-5717-4556-80bc-37f3b1d5ab50,7,Scraggy,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,7c43c0fb-6846-499c-a9a1-a7252663c3c5,11,Meowth,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,16efd82e-2c23-4107-a521-0015524a9f59,2,Torchic,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,99337051-84e6-44b6-a75d-dfd0197cf3c5,9,Togepi,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,1a6d6cf3-39a7-4d7f-af52-9471167581fd,12,Eevee,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2016xy,Macdonald's Collection 2016,MCD,McDonald's Collection 2016,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2016_%28TCG%29,00faabc7-9ccf-4da0-b98b-412cca68841d,6,Pikachu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,c86079ad-af93-478a-84e0-a54f9005160b,2,Grubbin,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,1c77ca39-6c0e-42c3-8a29-364c01e5b998,7,Crabrawler,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,dfb754bc-360f-4b78-995b-cb08929e063f,8,Alolan Meowth,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,99f2f589-5468-4bd6-9c99-7efaccb20729,11,Pikipek,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,178a489f-7f4e-4630-9cfe-6e7899a3aee4,1,Rowlet,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,21db6c09-84ae-496f-8ef0-4377ff8c42bc,4,Popplio,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
