set_code,set_name,printed_set_abbrev,db_card_print_id,db_number,db_name,db_variant_key,classification,reason
tk-dp-l,DP trainer Kit (Lucario),TK,a9d02f54-48fa-45ac-b7f1-3dda8f5eaba4,3,Lucario,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,af63cbf5-d0f9-44dd-a6c9-b497ab40bd0d,4,Machoke,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,84a25a42-f8ab-40d0-85b5-6e8f36e389bd,5,Machop,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,3ba1c8b6-3288-495d-9c6e-4a51089bb03b,6,Riolu,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,985d654c-31c0-4653-9554-c141f7392f46,7,Starly,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,3a973578-1d94-477b-b225-180c56ae8c2f,8,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,2f7e6ec9-38b2-4f09-b4b9-eebee577249c,9,Potion,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-l,DP trainer Kit (Lucario),TK,78c53cfe-052d-4ef4-b165-03b89541f24d,11,Fighting Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,899b6356-17fd-4431-b239-b3aedb1437d6,12,Water Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,f45a1849-ef82-4990-bd4d-291dcf46f782,1,Buizel,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,f252dafc-36d8-4319-b73b-d3a540d54b79,10,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,d8163fa4-6643-4736-838d-e67533f9c26a,11,Potion,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,7f133c59-98e2-4d39-bce4-3aed6db9bf6e,2,Floatzel,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,5639eddb-3ea9-43aa-930e-561c816bdee8,3,Goldeen,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,6abbfebe-c28d-4bc9-8add-1ff2998c1b47,4,Manaphy,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,95d9ac95-03a8-4100-a574-789b5cafa1d4,5,Piplup,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,3513882c-16d2-4cc5-99f3-0cad2bcf77cb,6,Prinplup,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,df320585-4557-4e21-b647-c3f48dbe27fc,7,Seaking,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,2d178632-a701-4067-83dd-1632cb73b657,8,Totodile,,not_listed_on_bulbapedia_index,no_index_match
tk-dp-m,DP trainer Kit (Manaphy),TK,ae2c8f87-4923-4b80-ad48-82f92767b665,9,Dusk Ball,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,21592864-3e6f-4e98-8eea-993455e19f0c,1,Bagon,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,fc15e3b1-622e-42f3-a46e-41a05c433771,2,Combusken,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,269d45de-45f9-4667-bcc6-559cc49c70f7,3,Delcatty,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,231bad97-4070-4942-8c12-139d1a14e186,4,Latias,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,826704b6-4d33-4092-9d50-daa70f74c1ae,5,Numel,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,34ddf849-0054-4021-9d7e-f739a37914f3,6,Skitty,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,6a34dbd3-42a6-4882-b25f-36e1f352b721,7,Torchic,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,18eec8ca-1ab0-4dc5-9781-ba5c8dc37747,8,Potion,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,e5403764-0bc4-4b4f-a923-d304f45c5a25,9,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latia,EX trainer Kit (Latias),TK,d8fe90e8-091d-4ba5-bc65-b7e1809b1a20,10,Fire Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,4552ee0a-ba23-4be5-8efb-e9a9ce934b64,10,Lightning Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,e1cd8246-7122-466a-b107-f5bb727166c4,1,Electrike,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,9305900e-2638-4f6b-90c4-22e53f4728fb,2,Latios,,not_listed_on_bulbapedia_index,no_index_match
