"table","id","name","number","set_code","tried_1","tried_2","tried_3"
"card_prints","dae638d7-dbaa-4cb7-92fe-cea0d12d7f74","Magneton","H18","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H18/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H18/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H18/high.webp"
"card_prints","fbae8061-e1f3-4e9c-9adf-9699ad8d0488","Magneton","H19","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H19/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H19/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H19/high.webp"
"card_prints","1f89ae76-ab38-477f-97cf-fcc3ce12f277","Moltres","H20","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H20/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H20/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H20/high.webp"
"card_prints","331c3327-3cb4-4c0d-8285-9cfe49aab0a9","Nidoqueen","H21","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H21/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H21/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H21/high.webp"
"card_prints","b7932ed6-199c-46b1-b8c3-1c96f95800c6","Piloswine","H22","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H22/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H22/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H22/high.webp"
"card_prints","4f652daa-e3da-40c0-a880-972c3cb6a896","Politoed","H23","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H23/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H23/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H23/high.webp"
"card_prints","207cc8bd-e59b-4c1f-9bdd-89284b9505c9","Poliwrath","H24","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H24/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H24/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H24/high.webp"
"card_prints","a4005c05-7a18-40fe-92e3-5fa1d75691ab","Raichu","H25","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H25/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H25/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H25/high.webp"
"card_prints","a9c30578-4441-4568-8031-ffdf8357cd57","Raikou","H26","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H26/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H26/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H26/high.webp"
"card_prints","f46c90d8-f95d-4d7b-86b0-b58322338ada","Rhydon","H27","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H27/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H27/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H27/high.webp"
"card_prints","e205940f-c249-4518-b414-b633c33bb4bd","Starmie","H28","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H28/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H28/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H28/high.webp"
"card_prints","251da0c5-a2ad-494d-9ff3-cdaa6da20c65","Steelix","H29","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H29/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H29/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H29/high.webp"
"card_prints","81f5c203-8680-4b94-8495-ef360ef2413e","Umbreon","H30","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H30/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H30/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H30/high.webp"
"card_prints","c356dbae-4164-450b-a791-116ed7fc5ca6","Vaporeon","H31","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H31/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H31/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H31/high.webp"
"card_prints","3171b30f-2b2a-4264-ab75-d4af22e113ff","Xatu","H32","ecard3","https://assets.tcgdex.net/en/ecard/ecard3/H32/high.png","https://assets.tcgdex.net/en/ecard/ecard3/H32/low.png","https://assets.tcgdex.net/en/ecard/ecard3/H32/high.webp"
