timestamp,set_code,page,imported,status,source
2025-09-05T11:08:52,dp6,1,0,OK,tcgplayer
2025-09-05T11:09:16,pop8,1,0,OK,tcgplayer
2025-09-05T11:09:19,dp7,1,0,OK,tcgplayer
2025-09-05T11:09:32,pl1,1,0,OK,tcgplayer
2025-09-05T11:09:56,pop9,1,0,OK,tcgplayer
2025-09-05T11:10:17,pl2,1,0,OK,tcgplayer
2025-09-05T11:10:29,pl3,1,0,OK,tcgplayer
2025-09-05T11:11:10,pl4,1,0,OK,tcgplayer
2025-09-05T11:11:11,ru1,1,0,OK,tcgplayer
2025-09-05T11:11:22,hgss1,1,0,OK,tcgplayer
2025-09-05T11:11:33,hsp,1,0,OK,tcgplayer
2025-09-05T11:11:37,hgss2,1,0,OK,tcgplayer
2025-09-05T11:12:02,hgss3,1,0,OK,tcgplayer
2025-09-05T11:14:45,hgss4,1,0,OK,tcgplayer
2025-09-05T11:14:59,col1,1,0,OK,tcgplayer
2025-09-05T11:15:12,bwp,1,99,OK,tcgplayer
2025-09-05T11:16:20,bw1,1,115,OK,tcgplayer
2025-09-05T11:16:32,mcd11,1,0,OK,tcgplayer
2025-09-05T11:16:47,bw2,1,98,OK,tcgplayer
2025-09-05T11:17:11,bw3,1,102,OK,tcgplayer
2025-09-05T11:17:14,bw4,1,103,OK,tcgplayer
2025-09-05T11:18:04,bw5,1,111,OK,tcgplayer
2025-09-05T11:18:47,mcd12,1,0,OK,tcgplayer
2025-09-05T11:19:16,bw6,1,128,OK,tcgplayer
2025-09-05T11:19:43,dv1,1,0,OK,tcgplayer
2025-09-05T11:19:55,bw7,1,153,OK,tcgplayer
2025-09-05T11:20:35,bw8,1,138,OK,tcgplayer
2025-09-05T11:20:50,bw9,1,122,OK,tcgplayer
2025-09-05T11:21:24,bw10,1,105,OK,tcgplayer
2025-09-05T11:21:44,xyp,1,0,OK,tcgplayer
2025-09-05T11:21:56,bw11,1,140,OK,tcgplayer
2025-09-05T11:22:21,xy0,1,0,OK,tcgplayer
2025-09-05T11:22:38,xy1,1,0,OK,tcgplayer
2025-09-05T11:22:50,xy2,1,0,OK,tcgplayer
2025-09-05T11:22:55,xy3,1,0,OK,tcgplayer
2025-09-05T11:23:31,xy4,1,0,OK,tcgplayer
2025-09-05T11:24:13,xy5,1,0,OK,tcgplayer
2025-09-05T11:25:02,dc1,1,0,OK,tcgplayer
2025-09-05T11:25:45,xy6,1,0,OK,tcgplayer
2025-09-05T11:26:08,xy7,1,0,OK,tcgplayer
2025-09-05T11:26:23,xy8,1,0,OK,tcgplayer
2025-09-05T11:26:41,xy9,1,0,OK,tcgplayer
2025-09-05T11:26:56,g1,1,0,OK,tcgplayer
2025-09-05T11:27:05,xy10,1,0,OK,tcgplayer
2025-09-05T11:27:09,xy11,1,0,OK,tcgplayer
2025-09-05T11:28:01,mcd16,1,0,OK,tcgplayer
2025-09-05T11:28:17,xy12,1,0,OK,tcgplayer
2025-09-05T11:28:38,sm1,1,0,OK,tcgplayer
2025-09-05T11:29:07,smp,1,0,OK,tcgplayer
2025-09-05T11:29:07,smp,2,0,OK,tcgplayer
2025-09-05T11:29:46,sm2,1,0,OK,tcgplayer
2025-09-05T11:29:51,sm3,1,0,OK,tcgplayer
2025-09-05T11:29:59,sm35,1,0,OK,tcgplayer
2025-09-05T11:30:29,sm4,1,0,OK,tcgplayer
2025-09-05T11:31:13,sm5,1,0,OK,tcgplayer
