Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
   20260218194847 | 20260218194847 | 2026-02-18 19:48:47 
   20260218195500 | 20260218195500 | 2026-02-18 19:55:00 
   20260304070000 | 20260304070000 | 2026-03-04 07:00:00 
   20260304100000 | 20260304100000 | 2026-03-04 10:00:00 
   20260304113000 | 20260304113000 | 2026-03-04 11:30:00 
   20260304120000 | 20260304120000 | 2026-03-04 12:00:00 
   20260304143000 | 20260304143000 | 2026-03-04 14:30:00 
   20260304150000 | 20260304150000 | 2026-03-04 15:00:00 
   20260304162000 | 20260304162000 | 2026-03-04 16:20:00 
   20260304170000 | 20260304170000 | 2026-03-04 17:00:00 
   20260304173000 | 20260304173000 | 2026-03-04 17:30:00 
   20260304174000 | 20260304174000 | 2026-03-04 17:40:00 
   20260305090000 | 20260305090000 | 2026-03-05 09:00:00 
   20260305093000 | 20260305093000 | 2026-03-05 09:30:00 
   20260306172935 | 20260306172935 | 2026-03-06 17:29:35 
   20260307053045 | 20260307053045 | 2026-03-07 05:30:45 
   20260312052346 | 20260312052346 | 2026-03-12 05:23:46 
   20260312054313 | 20260312054313 | 2026-03-12 05:43:13 
   20260312181339 | 20260312181339 | 2026-03-12 18:13:39 
   20260312194208 | 20260312194208 | 2026-03-12 19:42:08 
   20260313000100 | 20260313000100 | 2026-03-13 00:01:00 
   20260313021000 | 20260313021000 | 2026-03-13 02:10:00 
   20260313153000 | 20260313153000 | 2026-03-13 15:30:00 
   20260313170000 | 20260313170000 | 2026-03-13 17:00:00 
   20260313171000 | 20260313171000 | 2026-03-13 17:10:00 
   20260314143000 | 20260314143000 | 2026-03-14 14:30:00 
   20260315223000 | 20260315223000 | 2026-03-15 22:30:00 
   20260315233000 | 20260315233000 | 2026-03-15 23:30:00 
   20260316090000 | 20260316090000 | 2026-03-16 09:00:00 
   20260316093000 | 20260316093000 | 2026-03-16 09:30:00 
   20260316094500 | 20260316094500 | 2026-03-16 09:45:00 
   20260316101500 | 20260316101500 | 2026-03-16 10:15:00 
   20260316104500 | 20260316104500 | 2026-03-16 10:45:00 
   20260316110000 | 20260316110000 | 2026-03-16 11:00:00 
   20260316113000 | 20260316113000 | 2026-03-16 11:30:00 
   20260316114500 | 20260316114500 | 2026-03-16 11:45:00 
   20260316120000 | 20260316120000 | 2026-03-16 12:00:00 
   20260316121500 | 20260316121500 | 2026-03-16 12:15:00 
   20260317101500 | 20260317101500 | 2026-03-17 10:15:00 
   20260317113000 | 20260317113000 | 2026-03-17 11:30:00 
   20260317193000 | 20260317193000 | 2026-03-17 19:30:00 
   20260317203000 | 20260317203000 | 2026-03-17 20:30:00 
   20260319090000 | 20260319090000 | 2026-03-19 09:00:00 
   20260319120000 | 20260319120000 | 2026-03-19 12:00:00 
   20260319123000 | 20260319123000 | 2026-03-19 12:30:00 
   20260319130000 | 20260319130000 | 2026-03-19 13:00:00 
   20260319150000 | 20260319150000 | 2026-03-19 15:00:00 
   20260320153000 | 20260320153000 | 2026-03-20 15:30:00 
   20260320160000 | 20260320160000 | 2026-03-20 16:00:00 
   20260321100000 | 20260321100000 | 2026-03-21 10:00:00 
   20260321113000 | 20260321113000 | 2026-03-21 11:30:00 
   20260321120000 | 20260321120000 | 2026-03-21 12:00:00 
   20260321123000 | 20260321123000 | 2026-03-21 12:30:00 
   20260321124500 | 20260321124500 | 2026-03-21 12:45:00 
   20260322193000 | 20260322193000 | 2026-03-22 19:30:00 
   20260324032421 | 20260324032421 | 2026-03-24 03:24:21 
   20260324091500 | 20260324091500 | 2026-03-24 09:15:00 
   20260324094500 | 20260324094500 | 2026-03-24 09:45:00 
   20260324103000 | 20260324103000 | 2026-03-24 10:30:00 
   20260324114500 | 20260324114500 | 2026-03-24 11:45:00 
   20260324143000 | 20260324143000 | 2026-03-24 14:30:00 
   20260324160000 | 20260324160000 | 2026-03-24 16:00:00 
   20260324162500 | 20260324162500 | 2026-03-24 16:25:00 
   20260324163500 | 20260324163500 | 2026-03-24 16:35:00 
   20260324170000 | 20260324170000 | 2026-03-24 17:00:00 
   20260324171000 | 20260324171000 | 2026-03-24 17:10:00 
   20260324172000 | 20260324172000 | 2026-03-24 17:20:00 
   20260324173000 | 20260324173000 | 2026-03-24 17:30:00 
   20260324174000 | 20260324174000 | 2026-03-24 17:40:00 
   20260324175000 | 20260324175000 | 2026-03-24 17:50:00 
   20260324183000 | 20260324183000 | 2026-03-24 18:30:00 
   20260325083000 | 20260325083000 | 2026-03-25 08:30:00 
   20260325113000 | 20260325113000 | 2026-03-25 11:30:00 
   20260325114500 | 20260325114500 | 2026-03-25 11:45:00 
   20260325133000 | 20260325133000 | 2026-03-25 13:30:00 
   20260325143000 | 20260325143000 | 2026-03-25 14:30:00 
   20260326100000 | 20260326100000 | 2026-03-26 10:00:00 
   20260327090000 | 20260327090000 | 2026-03-27 09:00:00 
   20260328034937 | 20260328034937 | 2026-03-28 03:49:37 
   20260328110000 | 20260328110000 | 2026-03-28 11:00:00 
   20260328110001 | 20260328110001 | 2026-03-28 11:00:01 
   20260328110002 | 20260328110002 | 2026-03-28 11:00:02 
   20260328110003 | 20260328110003 | 2026-03-28 11:00:03 
   20260328110004 | 20260328110004 | 2026-03-28 11:00:04 
   20260328110005 | 20260328110005 | 2026-03-28 11:00:05 
   20260328110006 | 20260328110006 | 2026-03-28 11:00:06 
   20260328110007 | 20260328110007 | 2026-03-28 11:00:07 
   20260328110008 | 20260328110008 | 2026-03-28 11:00:08 
   20260328120009 | 20260328120009 | 2026-03-28 12:00:09 
   20260330113000 | 20260330113000 | 2026-03-30 11:30:00 
   20260331103000 | 20260331103000 | 2026-03-31 10:30:00 
   20260331174500 | 20260331174500 | 2026-03-31 17:45:00 
   20260331190000 | 20260331190000 | 2026-03-31 19:00:00 
   20260402100000 | 20260402100000 | 2026-04-02 10:00:00 
   20260402100001 | 20260402100001 | 2026-04-02 10:00:01 
   20260402100002 | 20260402100002 | 2026-04-02 10:00:02 
   20260402100003 | 20260402100003 | 2026-04-02 10:00:03 
   20260402100004 | 20260402100004 | 2026-04-02 10:00:04 
   20260402100005 | 20260402100005 | 2026-04-02 10:00:05 
   20260402100006 | 20260402100006 | 2026-04-02 10:00:06 
   20260402100007 | 20260402100007 | 2026-04-02 10:00:07 
   20260402100008 | 20260402100008 | 2026-04-02 10:00:08 
   20260403133000 | 20260403133000 | 2026-04-03 13:30:00 
   20260408113000 | 20260408113000 | 2026-04-08 11:30:00 
   20260408191000 | 20260408191000 | 2026-04-08 19:10:00 
   20260411165000 | 20260411165000 | 2026-04-11 16:50:00 
   20260412011000 | 20260412011000 | 2026-04-12 01:10:00 
   20260413120000 | 20260413120000 | 2026-04-13 12:00:00 
   20260413143000 | 20260413143000 | 2026-04-13 14:30:00 
   20260414164857 | 20260414164857 | 2026-04-14 16:48:57 
   20260415173000 | 20260415173000 | 2026-04-15 17:30:00 
   20260415174500 | 20260415174500 | 2026-04-15 17:45:00 
   20260415203000 | 20260415203000 | 2026-04-15 20:30:00 
   20260416140605 | 20260416140605 | 2026-04-16 14:06:05 
   20260416160247 | 20260416160247 | 2026-04-16 16:02:47 
   20260416201500 | 20260416201500 | 2026-04-16 20:15:00 
   20260417100000 | 20260417100000 | 2026-04-17 10:00:00 
   20260422120000 | 20260422120000 | 2026-04-22 12:00:00 
   20260422133000 | 20260422133000 | 2026-04-22 13:30:00 
   20260423000000 | 20260423000000 | 2026-04-23 00:00:00 
   20260423150000 | 20260423150000 | 2026-04-23 15:00:00 
   20260427090000 | 20260427090000 | 2026-04-27 09:00:00 
   20260428234000 | 20260428234000 | 2026-04-28 23:40:00 
   20260429002000 | 20260429002000 | 2026-04-29 00:20:00 
   20260518120000 | 20260518120000 | 2026-05-18 12:00:00 
   20260518123000 | 20260518123000 | 2026-05-18 12:30:00 
   20260518180000 | 20260518180000 | 2026-05-18 18:00:00 
   20260519151000 | 20260519151000 | 2026-05-19 15:10:00 
   20260519163000 | 20260519163000 | 2026-05-19 16:30:00 
   20260519190000 | 20260519190000 | 2026-05-19 19:00:00 
   20260519193000 | 20260519193000 | 2026-05-19 19:30:00 
   20260520150000 | 20260520150000 | 2026-05-20 15:00:00 
   20260520160000 | 20260520160000 | 2026-05-20 16:00:00 
   20260520233000 | 20260520233000 | 2026-05-20 23:30:00 
   20260521120000 | 20260521120000 | 2026-05-21 12:00:00 
   20260521123000 | 20260521123000 | 2026-05-21 12:30:00 
   20260521124500 | 20260521124500 | 2026-05-21 12:45:00 
   20260521183000 | 20260521183000 | 2026-05-21 18:30:00 
   20260521203000 | 20260521203000 | 2026-05-21 20:30:00 
   20260521213000 | 20260521213000 | 2026-05-21 21:30:00 
   20260521223000 | 20260521223000 | 2026-05-21 22:30:00 
   20260521231500 | 20260521231500 | 2026-05-21 23:15:00 
   20260522001500 | 20260522001500 | 2026-05-22 00:15:00 
   20260522160000 | 20260522160000 | 2026-05-22 16:00:00 
   20260522161500 | 20260522161500 | 2026-05-22 16:15:00 
   20260522163000 | 20260522163000 | 2026-05-22 16:30:00 
   20260523170500 | 20260523170500 | 2026-05-23 17:05:00 
   20260523183000 | 20260523183000 | 2026-05-23 18:30:00 
   20260524051500 | 20260524051500 | 2026-05-24 05:15:00 
   20260616161500 | 20260616161500 | 2026-06-16 16:15:00 
   20260618120000 | 20260618120000 | 2026-06-18 12:00:00 
   20260624120000 | 20260624120000 | 2026-06-24 12:00:00 
   20260625000000 | 20260625000000 | 2026-06-25 00:00:00 
   20260625010000 | 20260625010000 | 2026-06-25 01:00:00 
   20260625020000 | 20260625020000 | 2026-06-25 02:00:00 
   20260625030000 | 20260625030000 | 2026-06-25 03:00:00 
   20260625040000 | 20260625040000 | 2026-06-25 04:00:00 
   20260625050000 | 20260625050000 | 2026-06-25 05:00:00 
   20260625060000 | 20260625060000 | 2026-06-25 06:00:00 
   20260625070000 | 20260625070000 | 2026-06-25 07:00:00 
   20260625080000 | 20260625080000 | 2026-06-25 08:00:00 
   20260625090000 | 20260625090000 | 2026-06-25 09:00:00 
   20260625100000 | 20260625100000 | 2026-06-25 10:00:00 
   20260625110000 | 20260625110000 | 2026-06-25 11:00:00 
   20260625120000 | 20260625120000 | 2026-06-25 12:00:00 
   20260625130000 | 20260625130000 | 2026-06-25 13:00:00 
   20260625140000 | 20260625140000 | 2026-06-25 14:00:00 
   20260625150000 | 20260625150000 | 2026-06-25 15:00:00 
   20260625160000 | 20260625160000 | 2026-06-25 16:00:00 
   20260625170000 | 20260625170000 | 2026-06-25 17:00:00 
   20260625180000 | 20260625180000 | 2026-06-25 18:00:00 
   20260629120000 | 20260629120000 | 2026-06-29 12:00:00 
   20260629130000 | 20260629130000 | 2026-06-29 13:00:00 
   20260629131000 | 20260629131000 | 2026-06-29 13:10:00 
   20260629190000 | 20260629190000 | 2026-06-29 19:00:00 
   20260703090000 | 20260703090000 | 2026-07-03 09:00:00 
   20260703170000 | 20260703170000 | 2026-07-03 17:00:00 
   20260703173000 | 20260703173000 | 2026-07-03 17:30:00 
   20260706100000 | 20260706100000 | 2026-07-06 10:00:00 
   20260706110000 | 20260706110000 | 2026-07-06 11:00:00 
   20260706120000 | 20260706120000 | 2026-07-06 12:00:00 
   20260706121000 | 20260706121000 | 2026-07-06 12:10:00 
   20260706122000 | 20260706122000 | 2026-07-06 12:20:00 
   20260706123000 | 20260706123000 | 2026-07-06 12:30:00 
   20260707173500 | 20260707173500 | 2026-07-07 17:35:00 
   20260707175500 | 20260707175500 | 2026-07-07 17:55:00 
   20260707182000 | 20260707182000 | 2026-07-07 18:20:00 
   20260708100000 | 20260708100000 | 2026-07-08 10:00:00 
   20260708110000 | 20260708110000 | 2026-07-08 11:00:00 
   20260708120000 | 20260708120000 | 2026-07-08 12:00:00 
   20260708130000 | 20260708130000 | 2026-07-08 13:00:00 
   20260708140000 | 20260708140000 | 2026-07-08 14:00:00 
   20260708150000 | 20260708150000 | 2026-07-08 15:00:00 
   20260708160000 | 20260708160000 | 2026-07-08 16:00:00 
   20260708170000 | 20260708170000 | 2026-07-08 17:00:00 
   20260708174000 | 20260708174000 | 2026-07-08 17:40:00 
   20260709100000 | 20260709100000 | 2026-07-09 10:00:00 
   20260709110000 | 20260709110000 | 2026-07-09 11:00:00 
   20260709120000 | 20260709120000 | 2026-07-09 12:00:00 
   20260709125000 | 20260709125000 | 2026-07-09 12:50:00 
   20260709130000 | 20260709130000 | 2026-07-09 13:00:00 
   20260709131000 | 20260709131000 | 2026-07-09 13:10:00 
   20260710100000 | 20260710100000 | 2026-07-10 10:00:00 
   20260711180000 | 20260711180000 | 2026-07-11 18:00:00 
   20260712090000 | 20260712090000 | 2026-07-12 09:00:00 
   20260713190000 | 20260713190000 | 2026-07-13 19:00:00 
   20260714203000 | 20260714203000 | 2026-07-14 20:30:00 
   20260715010000 | 20260715010000 | 2026-07-15 01:00:00 
   20260715100000 | 20260715100000 | 2026-07-15 10:00:00 
   20260715104500 | 20260715104500 | 2026-07-15 10:45:00 
   20260715110000 | 20260715110000 | 2026-07-15 11:00:00 

A new version of Supabase CLI is available: v2.109.1 (currently installed v2.90.0)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
